,,l-League,l-Year,l-Rank,l-Rank_SC,l-W_SC,l-D_SC,l-L_SC,l-+/-_SC,l-Pts_SC,l-Goals_For_SC,l-Goals_Against_SC,l-VRank_SC,l-Avg_Player_Value_(m)_SC,l-Value_(m)_SC,l-Squad_SC,l-Avg_Age_SC,l-Foreigners_SC,League,Year,Rank,Rank_SC,W_SC,D_SC,L_SC,+/-_SC,Pts_SC,Goals_For_SC,Goals_Against_SC,VRank_SC,Avg_Player_Value_(m)_SC,Value_(m)_SC,Squad_SC,Avg_Age_SC,Foreigners_SC
United Kingdom,Blackburn Rovers,GB1,2005.0,15.0,0.75,0.23684210526315788,0.39473684210526316,0.3684210526315789,-0.2894736842105263,1.105263157894737,0.8421052631578947,1.131578947368421,0.65,-0.5543921932779513,-0.5014020565602022,0.43331944173070924,1.1972942040497334,1.2011085904775978,GB1,2006.0,6.0,0.3,0.5,0.15789473684210525,0.34210526315789475,0.23684210526315788,1.6578947368421053,1.3421052631578947,1.105263157894737,0.8,-0.5003502256186683,-0.6799006876111786,-2.005971945211616,1.7015663508797054,0.2056127748622535
United Kingdom,Portsmouth FC,GB1,2005.0,16.0,0.8,0.2631578947368421,0.23684210526315788,0.5,-0.42105263157894735,1.0263157894736843,1.131578947368421,1.5526315789473684,0.8,-0.7032223122787435,-0.630381602265419,0.6675461669905519,0.23945884080994542,0.5633518167726784,GB1,2006.0,17.0,0.85,0.2631578947368421,0.21052631578947367,0.5263157894736842,-0.6578947368421053,1.0,0.9736842105263158,1.631578947368421,0.55,-0.4886415619926463,-0.4093193715353339,1.1067431421857206,1.0594658411137796,1.9370887737022842
United Kingdom,West Bromwich Albion,GB1,2005.0,17.0,0.85,0.15789473684210525,0.42105263157894735,0.42105263157894735,-0.6578947368421053,0.8947368421052632,0.9473684210526315,1.605263157894737,0.9,-0.7735032018068955,-0.7797512967402106,-0.2693607340488187,1.1972942040497334,-0.28699054816721403,GB1,2006.0,19.0,0.95,0.18421052631578946,0.23684210526315788,0.5789473684210527,-0.7105263157894737,0.7894736842105263,0.8157894736842105,1.5263157894736843,0.75,-0.6213397497542277,-0.6586952553168334,-0.2766857855464289,0.23390804284330413,-1.3094287241227733
United Kingdom,Crystal Palace,GB1,2005.0,18.0,0.9,0.18421052631578946,0.3157894736842105,0.5,-0.5526315789473685,0.868421052631579,1.0789473684210527,1.631578947368421,0.95,-0.9719433604746185,-0.9204670327255895,0.43331944173070924,-0.8054524645425485,-0.7121617306371603,,,,,,,,,,,,,,,,,
United Kingdom,Norwich City,GB1,2005.0,19.0,0.95,0.18421052631578946,0.3157894736842105,0.5,-0.9210526315789473,0.868421052631579,1.105263157894737,2.026315789473684,1.0,-0.9512725106133975,-1.010325944163599,-1.440494360348032,1.1102182619370242,-1.7750896868120258,,,,,,,,,,,,,,,,,
United Kingdom,Southampton FC,GB1,2005.0,20.0,1.0,0.15789473684210525,0.3684210526315789,0.47368421052631576,-0.5526315789473685,0.8421052631578947,1.1842105263157894,1.736842105263158,0.5,-0.566794703194684,-0.36388709974214006,1.8386797932897652,0.1523828986972363,0.9885229992426247,,,,,,,,,,,,,,,,,
United Kingdom,Sunderland AFC,,,,,,,,,,,,,,,,,,GB1,2006.0,20.0,1.0,0.07894736842105263,0.15789473684210525,0.7631578947368421,-1.131578947368421,0.39473684210526316,0.6842105263157895,1.8157894736842106,1.0,-1.0116285372882903,-1.0706865113212545,-0.9684002494125037,-1.142021620940824,-0.010821724992750347
United Kingdom,Wigan Athletic,,,,,,,,,,,,,,,,,,GB1,2006.0,10.0,0.5,0.39473684210526316,0.15789473684210525,0.4473684210526316,-0.18421052631578946,1.3421052631578947,1.1842105263157894,1.368421052631579,0.95,-0.7462321617651276,-0.8238552794150763,-0.9684002494125037,1.7932949951319819,-0.44369072470275805
United Kingdom,West Ham United,,,,,,,,,,,,,,,,,,GB1,2006.0,9.0,0.45,0.42105263157894735,0.18421052631578946,0.39473684210526316,-0.07894736842105263,1.4473684210526316,1.368421052631579,1.4473684210526316,0.85,-0.6798830678843371,-0.6950474249642823,0.06917144638660845,-0.5916497554271747,-1.3094287241227733
Spain,FC Barcelona,ES1,2005.0,1.0,0.05,0.6578947368421053,0.23684210526315788,0.10526315789473684,1.1578947368421053,2.210526315789474,1.9210526315789473,0.7631578947368421,0.1,2.171970707606266,2.3060040808161086,1.0796625649802276,-1.3950991911673596,1.8521570565543446,ES1,2006.0,1.0,0.05,0.6578947368421053,0.18421052631578946,0.15789473684210525,1.1842105263157894,2.1578947368421053,2.1052631578947367,0.9210526315789473,0.05,2.802845735152244,2.79521565094846,0.6617798102532277,-0.891977676485281,1.2872469968571978
Spain,Real Madrid,ES1,2005.0,2.0,0.1,0.6578947368421053,0.13157894736842105,0.21052631578947367,1.0263157894736843,2.1052631578947367,1.868421052631579,0.8421052631578947,0.05,2.6416893540618513,2.6793479637884428,0.757375232150309,-0.3821558840491438,0.40515935612126297,ES1,2006.0,2.0,0.1,0.5263157894736842,0.2631578947368421,0.21052631578947367,0.7894736842105263,1.8421052631578947,1.8421052631578947,1.0526315789473684,0.1,2.0498343311274616,2.2474406932011433,1.1808227986871316,-0.8032236788250531,0.761840059364464
Spain,Villarreal CF,ES1,2005.0,3.0,0.15,0.47368421052631576,0.2894736842105263,0.23684210526315788,0.8421052631578947,1.7105263157894737,1.8157894736842106,0.9736842105263158,0.4,-0.30548339228337174,-0.21111519277434604,1.4019498978101461,-1.2109276807822271,0.40515935612126297,ES1,2006.0,7.0,0.35,0.3684210526315789,0.39473684210526316,0.23684210526315788,0.2894736842105263,1.5,1.3157894736842106,1.0263157894736843,0.4,-0.13847505294455734,-0.13460465682858372,0.14273682181932376,-0.44820768818414736,0.761840059364464
Spain,Real Betis Balompié,ES1,2005.0,4.0,0.2,0.42105263157894735,0.3684210526315789,0.21052631578947367,0.3157894736842105,1.631578947368421,1.631578947368421,1.3157894736842106,0.3,0.035374386560504616,0.01895325809546544,0.11280056649047195,0.078272891913681,-0.17363972405196967,ES1,2006.0,14.0,0.7,0.2631578947368421,0.3157894736842105,0.42105263157894735,-0.4473684210526316,1.105263157894737,0.8947368421052632,1.3421052631578947,0.35,-0.08439136094277745,-0.08746498181547036,0.14273682181932376,-0.09319169754323846,-0.5516772843673703
Spain,RCD Espanyol Barcelona,ES1,2005.0,5.0,0.25,0.4473684210526316,0.2631578947368421,0.2894736842105263,0.21052631578947367,1.605263157894737,1.4210526315789473,1.2105263157894737,0.6,-0.42187385335201244,-0.4679640982427598,-0.8540614319992836,-0.19798437366401453,-0.17363972405196967,ES1,2006.0,15.0,0.75,0.2631578947368421,0.2894736842105263,0.4473684210526316,-0.5263157894736842,1.0789473684210527,0.9473684210526315,1.4736842105263157,0.5,-0.41305379695359395,-0.4093275223480442,-0.1167846723976282,-0.714469681164825,-0.2889738156210035
Spain,Sevilla FC,ES1,2005.0,6.0,0.3,0.4473684210526316,0.23684210526315788,0.3157894736842105,0.07894736842105263,1.5789473684210527,1.1578947368421053,1.0789473684210527,0.35,-0.12258409631836505,-0.15877157696798685,-0.20948676633944657,-0.3821558840491438,-0.7524388042252023,ES1,2006.0,5.0,0.25,0.5263157894736842,0.21052631578947367,0.2631578947368421,0.39473684210526316,1.7894736842105263,1.4210526315789473,1.0263157894736843,0.3,-0.017826816940586715,0.04261665303084226,0.6617798102532277,-0.35945369052391934,-0.026270346874636592
Spain,Valencia CF,ES1,2005.0,7.0,0.35,0.3684210526315789,0.42105263157894735,0.21052631578947367,0.39473684210526316,1.5263157894736843,1.4210526315789473,1.0263157894736843,0.15,1.4736279411944218,1.3671056884569264,0.11280056649047195,0.17035864710624726,1.8521570565543446,ES1,2006.0,3.0,0.15,0.5,0.3157894736842105,0.18421052631578946,0.6578947368421053,1.8157894736842106,1.5263157894736843,0.868421052631579,0.15,1.5506002511110313,1.4138441616401387,0.14273682181932376,0.9718562743794819,1.0245435281108308
Spain,Deportivo de La Coruña,ES1,2005.0,8.0,0.4,0.3157894736842105,0.39473684210526316,0.2894736842105263,-0.10526315789473684,1.3421052631578947,1.2105263157894737,1.3157894736842106,0.2,0.9997524925578134,0.7408082388668841,-0.8540614319992836,1.6437307301872848,-0.17363972405196967,ES1,2006.0,8.0,0.4,0.39473684210526316,0.2631578947368421,0.34210526315789475,0.05263157894736842,1.4473684210526316,1.236842105263158,1.1842105263157894,0.25,0.4814072630758433,0.4817913468238982,0.40225831603627576,1.2381182673601627,-0.5516772843673703
Spain,Athletic Bilbao,ES1,2005.0,9.0,0.45,0.3684210526315789,0.23684210526315788,0.39473684210526316,0.13157894736842105,1.3421052631578947,1.5526315789473684,1.4210526315789473,0.5,-0.3803058315417837,-0.3717979203659604,0.11280056649047195,-0.566327394434273,-2.4888360447449003,ES1,2006.0,12.0,0.6,0.2894736842105263,0.3157894736842105,0.39473684210526316,-0.15789473684210525,1.1842105263157894,1.0526315789473684,1.2105263157894737,0.65,-0.7250750969638629,-0.5495531378933813,2.4784302697718914,-1.069485671805734,-2.3906015655919384
Spain,Málaga CF,ES1,2005.0,10.0,0.5,0.39473684210526316,0.15789473684210525,0.4473684210526316,-0.21052631578947367,1.3421052631578947,1.0526315789473684,1.263157894736842,0.75,-0.6297139624031566,-0.617691185316764,-0.20948676633944657,-0.2900701288565775,0.11575981603464663,ES1,2006.0,20.0,1.0,0.13157894736842105,0.23684210526315788,0.631578947368421,-0.8421052631578947,0.631578947368421,0.9473684210526315,1.7894736842105263,0.95,-0.8502996453679839,-0.7786877607419321,0.40225831603627576,-0.35945369052391934,-0.2889738156210035
Spain,Atlético de Madrid,ES1,2005.0,11.0,0.55,0.34210526315789475,0.2894736842105263,0.3684210526315789,0.15789473684210525,1.3157894736842106,1.0526315789473684,0.8947368421052632,0.25,0.38038896758540386,0.5119570813879184,1.4019498978101461,-0.10589861847144827,0.6945588962078793,ES1,2006.0,10.0,0.5,0.34210526315789475,0.34210526315789475,0.3157894736842105,0.21052631578947367,1.368421052631579,1.1842105263157894,0.9736842105263158,0.2,0.5978952150796771,0.48775839429391254,-0.1167846723976282,-1.8682716507477732,-0.5516772843673703
Spain,Real Zaragoza,ES1,2005.0,12.0,0.6,0.3684210526315789,0.21052631578947367,0.42105263157894735,-0.13157894736842105,1.3157894736842106,1.368421052631579,1.5,0.55,-0.3096401944643946,-0.3951699534701951,-1.1763487648292021,-0.10589861847144827,-0.463039264138586,ES1,2006.0,11.0,0.55,0.2631578947368421,0.42105263157894735,0.3157894736842105,-0.13157894736842105,1.2105263157894737,1.2105263157894737,1.3421052631578947,0.45,-0.09687221294318812,-0.318986423652027,-1.67391363769934,1.1493642696999347,-0.8143807531137373
Spain,Getafe CF,ES1,2005.0,13.0,0.65,0.3157894736842105,0.2894736842105263,0.39473684210526316,-0.21052631578947367,1.236842105263158,1.0,1.2105263157894737,0.95,-0.8716398493386884,-0.8489769295774211,-0.8540614319992836,1.1833019542244598,-1.6206374244850512,ES1,2006.0,9.0,0.45,0.39473684210526316,0.23684210526315788,0.3684210526315789,0.13157894736842105,1.4210526315789473,1.4210526315789473,1.2894736842105263,0.8,-0.6210679969604399,-0.6790380679926925,-1.414392143482388,0.9718562743794819,-1.077084221860104
Spain,Real Sociedad,ES1,2005.0,14.0,0.7,0.34210526315789475,0.21052631578947367,0.4473684210526316,-0.23684210526315788,1.236842105263158,1.236842105263158,1.4736842105263157,0.45,-0.37614902936076083,-0.36571145341173256,0.11280056649047195,-0.7504989048194023,-0.463039264138586,ES1,2006.0,16.0,0.8,0.2894736842105263,0.18421052631578946,0.5263157894736842,-0.4473684210526316,1.0526315789473684,1.263157894736842,1.7105263157894737,0.55,-0.4796183409557846,-0.47078811128919196,-0.1167846723976282,-0.44820768818414736,-0.8143807531137373
Spain,CA Osasuna,ES1,2005.0,15.0,0.75,0.3157894736842105,0.2631578947368421,0.42105263157894735,-0.5,1.2105263157894737,1.2105263157894737,1.7105263157894737,0.8,-0.6421843689462252,-0.6931633755491889,-1.8209234304890392,-0.10589861847144827,-0.17363972405196967,ES1,2006.0,4.0,0.2,0.5526315789473685,0.13157894736842105,0.3157894736842105,0.15789473684210525,1.7894736842105263,1.2894736842105263,1.131578947368421,0.75,-0.5253814649572908,-0.6274827778517685,-1.67391363769934,0.0843162977772144,-0.8143807531137373
Spain,Racing Santander,ES1,2005.0,16.0,0.8,0.3157894736842105,0.21052631578947367,0.47368421052631576,-0.4473684210526316,1.1578947368421053,1.0789473684210527,1.5263157894736843,0.7,-0.6679565424685672,-0.6170825386213413,0.757375232150309,-1.3030134359747934,1.2733579763811118,ES1,2006.0,17.0,0.85,0.23684210526315788,0.34210526315789475,0.42105263157894735,-0.34210526315789475,1.0526315789473684,0.9473684210526315,1.2894736842105263,0.9,-0.8220097141670529,-0.7193753088899896,1.1808227986871316,-0.9807316741455059,-0.2889738156210035
Spain,RCD Mallorca,ES1,2005.0,17.0,0.85,0.2631578947368421,0.23684210526315788,0.5,-0.5526315789473685,1.0263157894736843,1.105263157894737,1.6578947368421053,0.65,-0.5174803035155388,-0.4983964330138989,0.11280056649047195,0.35453015749137656,0.6945588962078793,ES1,2006.0,13.0,0.65,0.2631578947368421,0.34210526315789475,0.39473684210526316,-0.3684210526315789,1.131578947368421,0.9736842105263158,1.3421052631578947,0.7,-0.6377091329609874,-0.6101783401887271,-0.1167846723976282,-0.35945369052391934,1.2872469968571978
Spain,Levante UD,ES1,2005.0,18.0,0.9,0.23684210526315788,0.2631578947368421,0.5,-0.5,0.9736842105263158,1.0263157894736843,1.5263157894736843,0.85,-0.6970541577357272,-0.7223784169294825,-1.4986360976591206,2.84084554769063,-0.17363972405196967,,,,,,,,,,,,,,,,,
Spain,CD Numancia,ES1,2005.0,19.0,0.95,0.15789473684210525,0.2894736842105263,0.5526315789473685,-0.8157894736842105,0.7631578947368421,0.7894736842105263,1.605263157894737,1.0,-0.8845259360998592,-0.8544547498362259,-0.5317740991693651,0.9991304438393306,-0.463039264138586,,,,,,,,,,,,,,,,,
Spain,Albacete Balompié,ES1,2005.0,20.0,1.0,0.15789473684210525,0.2631578947368421,0.5789473684210527,-0.6052631578947368,0.7368421052631579,0.868421052631579,1.4736842105263157,0.9,-0.8762123317378134,-0.8015024873344441,2.046524563469983,-0.4742416392417101,-0.17363972405196967,,,,,,,,,,,,,,,,,
Spain,Cádiz CF,,,,,,,,,,,,,,,,,,ES1,2006.0,19.0,0.95,0.21052631578947367,0.3157894736842105,0.47368421052631576,-0.42105263157894735,0.9473684210526315,0.9473684210526315,1.368421052631579,1.0,-0.8744292925687781,-0.848860238989301,-0.8953491550484841,2.1256582439624303,0.761840059364464
Spain,Celta de Vigo,,,,,,,,,,,,,,,,,,ES1,2006.0,6.0,0.3,0.5263157894736842,0.10526315789473684,0.3684210526315789,0.3157894736842105,1.6842105263157894,1.1842105263157894,0.868421052631579,0.6,-0.4588169209551,-0.5367836563075506,-1.1548706492654361,0.35057829075789526,0.761840059364464
Spain,Deportivo Alavés,,,,,,,,,,,,,,,,,,ES1,2006.0,18.0,0.9,0.23684210526315788,0.3157894736842105,0.4473684210526316,-0.5,1.0263157894736843,0.9210526315789473,1.4210526315789473,0.85,-0.7375559489642735,-0.697535915149737,-0.1167846723976282,1.5043802603408436,1.8126539343499315
Germany,Bayern Munich,L1,2005.0,1.0,0.05555555555555555,0.7058823529411765,0.14705882352941177,0.14705882352941177,1.2352941176470589,2.264705882352941,2.2058823529411766,0.9705882352941176,0.05555555555555555,3.1818091235437165,3.0691016971094407,-1.0536243799027243,1.511953334598286,-0.5241324535814764,L1,2006.0,1.0,0.05555555555555555,0.6470588235294118,0.2647058823529412,0.08823529411764706,1.0294117647058822,2.2058823529411766,1.9705882352941178,0.9411764705882353,0.05555555555555555,3.239979013034801,3.050284462827774,-2.006894194867349,1.7097768114985545,-0.3369085602646044
Germany,FC Schalke 04,L1,2005.0,2.0,0.1111111111111111,0.5882352941176471,0.08823529411764706,0.3235294117647059,0.29411764705882354,1.8529411764705883,1.6470588235294117,1.3529411764705883,0.2222222222222222,0.5332773184547951,0.6968962635991942,0.4635947271571983,-0.5266354311522156,0.03083132079891026,L1,2006.0,4.0,0.2222222222222222,0.47058823529411764,0.38235294117647056,0.14705882352941177,0.47058823529411764,1.7941176470588236,1.3823529411764706,0.9117647058823529,0.2222222222222222,0.45938889401340627,0.5497349257843984,-0.2229882438741499,-0.6576064659609899,0.26952684821168377
Germany,SV Werder Bremen,L1,2005.0,3.0,0.16666666666666666,0.5294117647058824,0.14705882352941177,0.3235294117647059,0.9117647058823529,1.7352941176470589,2.0,1.088235294117647,0.1111111111111111,1.1373284318961279,1.0208514846529146,-1.0536243799027243,-1.1382120608773676,-0.5241324535814764,L1,2006.0,2.0,0.1111111111111111,0.6176470588235294,0.20588235294117646,0.17647058823529413,1.2352941176470589,2.0588235294117645,2.323529411764706,1.088235294117647,0.1111111111111111,1.43221243427709,1.22298100841504,-2.006894194867349,-0.7486596689402012,-0.6401262645027485
Germany,Hertha BSC,L1,2005.0,4.0,0.2222222222222222,0.4411764705882353,0.38235294117647056,0.17647058823529413,0.8235294117647058,1.7058823529411764,1.7352941176470589,0.9117647058823529,0.3888888888888889,0.35515968244004315,0.3089498877694305,-0.6743196031377436,0.18687063686045927,-0.5241324535814764,L1,2006.0,6.0,0.3333333333333333,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.11764705882352941,1.411764705882353,1.5294117647058822,1.411764705882353,0.3888888888888889,0.17596786259800226,0.15052922240636,-0.6689647316224496,-0.11128724808570947,1.48239766516426
Germany,VfB Stuttgart,L1,2005.0,5.0,0.2777777777777778,0.5,0.20588235294117646,0.29411764705882354,0.4117647058823529,1.7058823529411764,1.588235294117647,1.1764705882352942,0.2777777777777778,0.48681184819007717,0.514788102299037,-0.29501482637276305,-0.6285648694397421,-0.5241324535814764,L1,2006.0,9.0,0.5,0.2647058823529412,0.47058823529411764,0.2647058823529412,-0.058823529411764705,1.2647058823529411,1.088235294117647,1.1470588235294117,0.4444444444444444,-0.0002127785521136999,0.07057780391213944,0.2229882438741499,0.07081915787271627,-0.6401262645027485
Germany,Bayer 04 Leverkusen,L1,2005.0,6.0,0.3333333333333333,0.47058823529411764,0.2647058823529412,0.2647058823529412,0.6176470588235294,1.6764705882352942,1.911764705882353,1.2941176470588236,0.16666666666666666,0.6107197688959918,0.7128940522932052,0.08428995039221762,-1.342070937452417,-0.24665056639128308,L1,2006.0,5.0,0.2777777777777778,0.4117647058823529,0.29411764705882354,0.29411764705882354,0.4411764705882353,1.5294117647058822,1.8823529411764706,1.4411764705882353,0.2777777777777778,0.26022816923501413,0.3856966705979807,0.2229882438741499,-1.2949788868154817,-0.03369085602646033
Germany,Borussia Dortmund,L1,2005.0,7.0,0.3888888888888889,0.4411764705882353,0.29411764705882354,0.2647058823529412,0.08823529411764706,1.6176470588235294,1.3823529411764706,1.2941176470588236,0.3333333333333333,0.19253053651353044,0.4835924143457158,1.6015090574521402,-1.6478592523149929,0.585795095179297,L1,2006.0,7.0,0.3888888888888889,0.3235294117647059,0.38235294117647056,0.29411764705882354,0.08823529411764706,1.3529411764705883,1.3235294117647058,1.2352941176470589,0.3333333333333333,0.09170755596099037,0.3112591430343961,1.1149412193707495,-2.1144577136283993,-0.3369085602646044
